scenario_id,replication,random_seed,num_cooks,num_packers,arrival_breakdown,arrival_total,balk_count,cost_waste,lambda_walkin,no_seat_count,queue_breakdown,queue_lengths,renege_count,throughput_breakdown,throughput_total,time_simulated,total_profit,total_sales_price,util_BUSSER,util_CASHIER,util_COOK,util_DRIVE_THRU,util_ESPRESSO,util_PACKER,wait_DRIVE_THRU_avg,wait_DRIVE_THRU_p95,wait_MOBILE_avg,wait_MOBILE_p95,wait_WALK_IN_avg,wait_WALK_IN_p95,waste_items
4,3,3,3,2,"{'WALK_IN': 240, 'DRIVE_THRU': 317, 'MOBILE': 155}",712,0,98.4,30,0,"{'CASHIER': 4, 'DRIVE_THRU': 1, 'KITCHEN': 22, 'PACKING': 0}",27,105,"{'WALK_IN': 231, 'DRIVE_THRU': 150, 'MOBILE': 42}",423,480.48030417926645,2884.1,2982.5,0.9152672386658842,0.7325988124543769,0.37195670892633825,0.34958830979176747,0.20897617967754667,0.43278257646737756,20.508823053277503,31.483765947096643,9.987014670512039,16.562520652257774,23.114116062999425,33.196043869105765,31
4,4,4,3,2,"{'WALK_IN': 232, 'DRIVE_THRU': 328, 'MOBILE': 137}",697,0,78.60000000000001,30,0,"{'CASHIER': 3, 'DRIVE_THRU': 0, 'KITCHEN': 23, 'PACKING': 0}",26,100,"{'WALK_IN': 213, 'DRIVE_THRU': 156, 'MOBILE': 36}",405,480.01059927610794,2893.4,2972.0,0.8977444721569985,0.6242932850697058,0.3347188893469368,0.33003890388734386,0.26876011334960787,0.42776367498276074,22.16778435332714,36.31538261221435,13.095080145835542,17.22705715459383,23.068916681935203,35.93161987514599,31
4,5,5,3,2,"{'WALK_IN': 253, 'DRIVE_THRU': 292, 'MOBILE': 141}",686,0,97.80000000000003,30,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 44, 'PACKING': 0}",44,86,"{'WALK_IN': 233, 'DRIVE_THRU': 129, 'MOBILE': 53}",415,480.1111785040364,2941.7,3039.5,0.9382803554421346,0.8493861335991514,0.3429614699008494,0.30070519325120443,0.2271988903277385,0.452582781146127,16.94418945761739,28.30014298442903,12.062980694796236,16.534461678084586,21.076905393296023,36.059647204000086,33
5,1,1,4,1,"{'WALK_IN': 155, 'DRIVE_THRU': 310, 'MOBILE': 162}",627,0,118.05000000000001,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 5, 'PACKING': 12}",17,35,"{'WALK_IN': 148, 'DRIVE_THRU': 144, 'MOBILE': 123}",415,480.0930522071608,2700.95,2819.0,0.6323608161449835,0.5140005069879137,0.26314573315490475,0.3016223533373269,0.2465948234261596,0.8621692434500235,11.667938972118542,21.986909154301543,9.491407068761662,15.948285657437776,12.983808974814206,24.133001810719733,31
5,2,2,4,1,"{'WALK_IN': 161, 'DRIVE_THRU': 324, 'MOBILE': 170}",655,0,181.20000000000002,20,0,"{'CASHIER': 1, 'DRIVE_THRU': 0, 'KITCHEN': 0, 'PACKING': 4}",5,62,"{'WALK_IN': 157, 'DRIVE_THRU': 160, 'MOBILE': 105}",422,480.3703422233025,2938.8,3120.0,0.632802694725176,0.4903928641626554,0.33987945033476064,0.3593788133562105,0.27027064465864026,0.9015388848965142,15.553921265345258,27.98230426178742,12.171897834844973,16.413848884862688,15.955917322373969,25.73512635927242,59
5,3,3,4,1,"{'WALK_IN': 157, 'DRIVE_THRU': 304, 'MOBILE': 163}",624,0,154.95000000000002,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 12, 'PACKING': 6}",18,48,"{'WALK_IN': 146, 'DRIVE_THRU': 149, 'MOBILE': 110}",405,480.263729393383,2631.05,2786.0,0.5068536428329581,0.5177913479484579,0.2350322047446504,0.324565101873753,0.2536143209545586,0.8513294771385529,12.491927300881745,23.38968788153015,9.952162926788116,15.658720550842437,15.958024092280683,28.20859703681832,45
5,4,4,4,1,"{'WALK_IN': 172, 'DRIVE_THRU': 292, 'MOBILE': 156}",620,0,104.39999999999999,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 2, 'KITCHEN': 1, 'PACKING': 8}",11,35,"{'WALK_IN': 166, 'DRIVE_THRU': 140, 'MOBILE': 116}",422,480.45920714044024,2897.6,3002.0,0.6292417881891638,0.5150691183053433,0.24254657789993508,0.31112142652865377,0.26877754709297824,0.8565846332030875,12.631614881331208,22.345468536504708,9.936571840195644,16.036079763274557,13.200815479068352,23.448592035995397,33
5,5,5,4,1,"{'WALK_IN': 167, 'DRIVE_THRU': 330, 'MOBILE': 147}",644,0,157.34999999999997,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 0, 'PACKING': 5}",5,43,"{'WALK_IN': 164, 'DRIVE_THRU': 163, 'MOBILE': 101}",428,480.0938250130355,2810.65,2968.0,0.6579655099012338,0.5540648869144701,0.26554169300433467,0.32752262637123125,0.2745291923863732,0.8705479272552066,13.773527283710434,25.155569208281694,10.908011139623557,16.47044581424379,14.937877791400508,24.625850847876315,41
6,1,1,4,1,"{'WALK_IN': 213, 'DRIVE_THRU': 367, 'MOBILE': 152}",732,0,245.69999999999996,30,0,"{'CASHIER': 1, 'DRIVE_THRU': 1, 'KITCHEN': 6, 'PACKING': 12}",20,107,"{'WALK_IN': 207, 'DRIVE_THRU': 174, 'MOBILE': 40}",421,480.4620905152037,2881.3,3127.0,0.8060286145893496,0.6587765674219129,0.3199299963824331,0.42464373481024553,0.3113546518966909,0.9142508534048114,22.041234122214533,31.292219470229643,12.712418134597005,16.842315725496096,23.214875523849926,35.388116486465165,96
6,2,2,4,1,"{'WALK_IN': 251, 'DRIVE_THRU': 364, 'MOBILE': 157}",772,0,208.65,30,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 14, 'PACKING': 29}",43,120,"{'WALK_IN': 226, 'DRIVE_THRU': 172, 'MOBILE': 33}",431,480.2715877688632,2987.35,3196.0,0.8564263801651115,0.7369040658084681,0.3028752166447192,0.38921470073930065,0.28533265129542845,0.9523869255138198,22.64442778968987,37.07403620454116,12.958206741599946,16.910028427919304,25.756824620423334,41.20432717748368,97
6,3,3,4,1,"{'WALK_IN': 233, 'DRIVE_THRU': 336, 'MOBILE': 170}",739,0,196.95000000000002,30,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 25, 'PACKING': 17}",42,114,"{'WALK_IN': 212, 'DRIVE_THRU': 152, 'MOBILE': 53}",417,480.0983634270231,2883.05,3080.0,0.8146919172959916,0.7336849510540614,0.3232451106050342,0.33291281334482825,0.3656706520667721,0.9649858901909354,24.0768817605272,42.72623400739166,9.818332939241179,15.968650538620475,28.50278511417503,51.10824627958343,72
6,4,4,4,1,"{'WALK_IN': 214, 'DRIVE_THRU': 366, 'MOBILE': 157}",737,0,204.0,30,0,"{'CASHIER': 1, 'DRIVE_THRU': 2, 'KITCHEN': 0, 'PACKING': 14}",17,97,"{'WALK_IN': 208, 'DRIVE_THRU': 176, 'MOBILE': 56}",440,480.0113539952983,2838.0,3042.0,0.7821519116047551,0.6900588764744174,0.3060529738757816,0.3723192826973674,0.2980411401897324,0.9396548262136567,18.792946524031155,32.41403291403435,13.295936648859001,16.801076191466258,24.733864500632002,46.52713153415529,78
6,5,5,4,1,"{'WALK_IN': 261, 'DRIVE_THRU': 304, 'MOBILE': 156}",721,0,185.25000000000003,30,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 9, 'PACKING': 0}",9,101,"{'WALK_IN': 252, 'DRIVE_THRU': 147, 'MOBILE': 55}",454,480.18828823704314,3034.75,3220.0,0.9171097070508325,0.7936861566907528,0.29813469812055654,0.33831507158326946,0.3087665613593788,0.958521870328883,22.459582473336937,40.49058969691133,12.472287156248024,16.973855601005464,26.607211310714952,40.787296017655635,78
7,1,1,4,2,"{'WALK_IN': 176, 'DRIVE_THRU': 374, 'MOBILE': 148}",698,0,49.65,20,0,"{'CASHIER': 2, 'DRIVE_THRU': 0, 'KITCHEN': 2, 'PACKING': 0}",4,11,"{'WALK_IN': 174, 'DRIVE_THRU': 187, 'MOBILE': 135}",496,480.3370949428248,3426.85,3476.5,0.7385769018731146,0.5644630113914655,0.23043735772733712,0.44057155500050166,0.28011564177036696,0.5322687819297481,10.02067876379442,19.27554524732115,8.609412516022466,14.745996138847872,11.695004004351018,23.63393353236447,11
7,2,2,4,2,"{'WALK_IN': 168, 'DRIVE_THRU': 334, 'MOBILE': 158}",660,0,78.45,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 8, 'PACKING': 0}",8,23,"{'WALK_IN': 161, 'DRIVE_THRU': 165, 'MOBILE': 130}",456,480.03246704213365,3141.55,3220.0,0.6435893405745235,0.6599539505990154,0.2952722908003367,0.3632121654882629,0.2408535693372661,0.4646070841925818,11.000128967814092,21.139969423239442,8.909059797871933,15.596265887642456,13.829024695329112,26.302925327786866,18
7,3,3,4,2,"{'WALK_IN': 167, 'DRIVE_THRU': 296, 'MOBILE': 136}",599,0,32.4,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 0, 'PACKING': 0}",0,9,"{'WALK_IN': 164, 'DRIVE_THRU': 148, 'MOBILE': 123}",435,480.52426669870147,3004.1,3036.5,0.6533332864618399,0.5943915459557182,0.21017818884493114,0.23459157104692377,0.22155950373337532,0.46116181781246024,7.546668565859671,17.06934900982391,7.162171775813095,13.663064899742848,10.705354807507033,20.22860135933898,7
7,4,4,4,2,"{'WALK_IN': 147, 'DRIVE_THRU': 267, 'MOBILE': 170}",584,0,65.55,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 1, 'KITCHEN': 7, 'PACKING': 0}",8,15,"{'WALK_IN': 140, 'DRIVE_THRU': 128, 'MOBILE': 153}",421,480.2657590376206,3077.95,3143.5,0.5538180552483615,0.43602757732217157,0.29025820964023813,0.28985952501805784,0.261690958878682,0.4053713133240858,9.291341033314138,20.166739956932766,7.797488109482563,14.569733794059339,10.724881608236833,21.482287415806454,10
7,5,5,4,2,"{'WALK_IN': 184, 'DRIVE_THRU': 330, 'MOBILE': 155}",669,0,39.9,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 14, 'PACKING': 0}",14,17,"{'WALK_IN': 177, 'DRIVE_THRU': 156, 'MOBILE': 135}",468,480.97955662990563,3256.6,3296.5,0.7376974568242355,0.5985150960554686,0.2593426575314999,0.3243566910488375,0.2778674352530966,0.528445917473201,10.412365830429417,21.216350136214288,8.794026623424017,15.01064132093412,12.375893738777137,23.599925088274446,13
8,1,1,4,2,"{'WALK_IN': 242, 'DRIVE_THRU': 284, 'MOBILE': 178}",704,0,127.80000000000001,30,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 18, 'PACKING': 0}",18,88,"{'WALK_IN': 230, 'DRIVE_THRU': 139, 'MOBILE': 85}",454,480.1419329258151,3279.7,3407.5,0.8266472898110984,0.7238805509153539,0.3805409633833824,0.3433311492169138,0.31354170255308594,0.4600654430881416,17.25764005818918,30.203627756436223,10.28839013728936,16.27607495197605,22.44013344057334,39.811525917406186,37
8,2,2,4,2,"{'WALK_IN': 214, 'DRIVE_THRU': 318, 'MOBILE': 177}",709,0,90.44999999999999,30,0,"{'CASHIER': 2, 'DRIVE_THRU': 0, 'KITCHEN': 0, 'PACKING': 3}",5,29,"{'WALK_IN': 209, 'DRIVE_THRU': 159, 'MOBILE': 142}",510,480.0540952880511,3408.55,3499.0,0.8251763071571018,0.6800405365240875,0.25709199050540443,0.29965327572877026,0.2679700735432661,0.5783130983023,11.230855404967377,20.569594803794182,9.852589980295953,15.469034172086188,13.329845540692617,23.06767712619242,21
8,3,3,4,2,"{'WALK_IN': 231, 'DRIVE_THRU': 332, 'MOBILE': 172}",735,0,88.80000000000001,30,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 0, 'PACKING': 9}",9,34,"{'WALK_IN': 225, 'DRIVE_THRU': 161, 'MOBILE': 134}",520,480.2418848607397,3438.7,3527.5,0.8790065659315708,0.7160931841794801,0.26392971837795326,0.40500501149033885,0.26937355937774654,0.5546469283519151,11.568472217046585,27.28467622825326,8.565498210921051,15.941971165588777,13.104440422918657,29.962070660925434,16
8,4,4,4,2,"{'WALK_IN': 231, 'DRIVE_THRU': 302, 'MOBILE': 186}",719,0,110.1,30,0,"{'CASHIER': 1, 'DRIVE_THRU': 0, 'KITCHEN': 7, 'PACKING': 0}",8,86,"{'WALK_IN': 228, 'DRIVE_THRU': 149, 'MOBILE': 92}",469,480.14553785519615,3399.9,3510.0,0.8472825956131395,0.7330406555241582,0.32079442796261454,0.30786975094220126,0.3202341163575398,0.49770109909377513,16.22500737649967,30.48473426800955,10.934209577555901,16.358322217670143,20.120876669624508,37.60771548144859,37
8,5,5,4,2,"{'WALK_IN': 245, 'DRIVE_THRU': 314, 'MOBILE': 149}",708,0,101.10000000000001,30,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 7, 'PACKING': 4}",11,37,"{'WALK_IN': 236, 'DRIVE_THRU': 152, 'MOBILE': 110}",498,480.24433366899717,3619.9,3721.0,0.9136302858340541,0.8571006302572179,0.3291284205995627,0.33313787321016736,0.26622739818727686,0.508604512359096,13.668747200601869,25.37928881747768,11.535899328834542,16.646909751808376,20.969253705754664,34.91357684426582,24
9,1,1,5,1,"{'WALK_IN': 167, 'DRIVE_THRU': 286, 'MOBILE': 140}",593,0,95.25000000000001,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 5, 'PACKING': 0}",5,28,"{'WALK_IN': 163, 'DRIVE_THRU': 137, 'MOBILE': 110}",410,480.14608274476404,2881.75,2977.0,0.512362477167016,0.5414448097441665,0.15762302078566837,0.2892775099597122,0.3459657636828333,0.862780173802457,13.18335805627522,24.79611286672347,9.785152765722337,16.056204368043694,14.161794955506045,26.226303243570438,25
9,2,2,5,1,"{'WALK_IN': 172, 'DRIVE_THRU': 334, 'MOBILE': 148}",654,0,167.85,20,0,"{'CASHIER': 1, 'DRIVE_THRU': 0, 'KITCHEN': 0, 'PACKING': 10}",11,65,"{'WALK_IN': 167, 'DRIVE_THRU': 164, 'MOBILE': 76}",407,480.1203152128054,2775.15,2943.0,0.6276855356667521,0.5645847470871005,0.21198083585710986,0.3027743422537018,0.30686587972045415,0.9520309113207114,17.285898563485066,30.153402918756345,11.939668646681094,16.613391981514237,19.621835596612794,32.79964625602439,64
9,3,3,5,1,"{'WALK_IN': 179, 'DRIVE_THRU': 316, 'MOBILE': 167}",662,0,194.25,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 0, 'PACKING': 0}",0,75,"{'WALK_IN': 177, 'DRIVE_THRU': 157, 'MOBILE': 91}",425,480.53812361931375,2840.75,3035.0,0.7312308532077385,0.5330702056206055,0.23322173696177984,0.34775694056783746,0.2591926780674177,0.9787307944488947,15.600817756864167,26.198110431842448,12.087982606679022,16.331759611157203,17.71840832800625,29.217678464452177,75
9,4,4,5,1,"{'WALK_IN': 158, 'DRIVE_THRU': 302, 'MOBILE': 181}",641,0,110.55000000000003,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 2, 'PACKING': 0}",2,42,"{'WALK_IN': 156, 'DRIVE_THRU': 149, 'MOBILE': 138}",443,480.71118613967997,2996.45,3107.0,0.6217177850238413,0.5232427914403303,0.20840850413419115,0.29177694847820923,0.2918234965945424,0.9116799383189689,12.96675610523758,22.835447646137094,11.820897175073746,16.614866919493817,16.11488766463992,28.646106400643916,42
9,5,5,5,1,"{'WALK_IN': 171, 'DRIVE_THRU': 314, 'MOBILE': 150}",635,0,124.50000000000001,20,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 1, 'PACKING': 8}",9,43,"{'WALK_IN': 168, 'DRIVE_THRU': 149, 'MOBILE': 104}",421,480.0028387490117,2674.5,2799.0,0.677117631873227,0.5429428762222218,0.16988355399544755,0.366586541820671,0.2537859506106448,0.9153675162420527,13.403976674766492,23.73639512088211,10.600411290722645,16.0077661830155,14.469268572582553,26.738585341021004,42
10,1,1,5,1,"{'WALK_IN': 229, 'DRIVE_THRU': 308, 'MOBILE': 150}",687,0,192.59999999999997,30,0,"{'CASHIER': 0, 'DRIVE_THRU': 0, 'KITCHEN': 0, 'PACKING': 4}",4,78,"{'WALK_IN': 227, 'DRIVE_THRU': 151, 'MOBILE': 69}",447,480.0691104993954,2988.4,3181.0,0.7978891187098445,0.738177577418337,0.2617907843483425,0.367995417285719,0.32802223433979566,0.9361461904361411,17.100501198834536,27.738641097338814,10.736156341034315,16.625370626499368,19.369662336398253,32.02058334375451,71
10,2,2,5,1,"{'WALK_IN': 243, 'DRIVE_THRU': 312, 'MOBILE': 170}",725,0,240.89999999999998,30,0,"{'CASHIER': 1, 'DRIVE_THRU': 0, 'KITCHEN': 6, 'PACKING': 9}",16,102,"{'WALK_IN': 234, 'DRIVE_THRU': 152, 'MOBILE': 64}",450,480.47325511376744,3068.6,3309.5,0.7970827041917679,0.7770226645031294,0.21985501464635643,0.3462891954787829,0.3675229552241564,0.9432319117399126,16.97940553118675,29.46287506688741,12.958133303376986,16.607625341314037,22.660017839771253,35.81548863675394,98
